Order ID;Customer;Role;Date;Status;Items;Profit;Profit %;Cost of goods;Net sales;Tax;Shipping
8921;Slagerij Atas ;Customer;23/03/2026;pending;21;34,45;25,97;98,20;132,65;10,95;0,00
8889;Bakkerij Hesse Place;Customer;19/03/2026;pending;111;188,62;30,57;428,48;617,10;50,96;0,00
8981;Orange Food ;Customer;19/03/2026;pending;72;124,60;28,26;316,24;440,84;36,40;0,00
8920;Berat Supermarket ;Customer;19/03/2026;pending;24;51,70;28,45;130,00;181,70;15,00;0,00
8919;EKO Supermarkt ;Customer;19/03/2026;pending;102;163,79;30,26;377,44;541,23;44,69;0,00
8918;Yahya VOF ;Customer;19/03/2026;pending;30;50,21;26,91;136,40;186,61;15,41;0,00
8915;Luiten Food;Customer;19/03/2026;pending;1024;1.423,87;23,41;4.659,20;6.083,07;502,27;0,00
8963;De Serar&#039;s ;Customer;19/03/2026;pending;18;71,38;32,42;148,80;220,18;18,18;0,00
8979;Kibar Café Restaurant ;Customer;19/03/2026;pending;3;25,22;32,59;52,17;77,39;6,39;0,00
8978;Jacks corner ;Customer;19/03/2026;pending;50;94,00;24,64;287,50;381,50;31,50;0,00
8977;La Casa Doner ;Customer;19/03/2026;pending;3;25,19;31,44;54,93;80,12;6,62;0,00
8976;Tasty Corner Delft ;Customer;19/03/2026;pending;24;61,26;28,97;150,20;211,46;17,46;0,00
8975;Pizza Pizza ;Customer;19/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
8974;Emirdag Koftecisi ;Customer;19/03/2026;pending;6;34,50;35,17;63,60;98,10;8,10;0,00
8973;Saray PideHuis ;Customer;19/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
8972;Seda Bakkerij ;Customer;19/03/2026;pending;4;23,00;35,17;42,40;65,40;5,40;0,00
8971;Durum Evi ;Customer;19/03/2026;pending;4;27,94;38,84;44,00;71,94;5,94;0,00
8970;Rania ;Customer;19/03/2026;pending;5;28,75;35,17;53,00;81,75;6,75;0,00
8969;Snackbar De Joker Pizzeria Grillroom ;Customer;19/03/2026;pending;30;57,75;23,55;187,50;245,25;20,25;0,00
8968;Pizzeria &amp; Dönerhuis De Gaarde ;Customer;19/03/2026;pending;16;68,80;40,57;100,80;169,60;14,00;0,00
8967;L.A. American Food ;Customer;19/03/2026;pending;25;66,18;24,09;208,50;274,68;22,68;0,00
8966;Baronie Doner Place ;Customer;18/03/2026;pending;120;225,60;24,64;690,00;915,60;75,60;0,00
8965;Meze Food ;Customer;18/03/2026;pending;98;77,00;17,38;366,00;443,00;0,00;0,00
8964;Mr doner grill ;Customer;18/03/2026;pending;10;21,63;42,22;29,60;51,23;4,23;0,00
8962;Jacks corner ;Customer;18/03/2026;pending;50;94,00;24,64;287,50;381,50;31,50;0,00
8960;The Address Cafe Restaurant ;Customer;18/03/2026;pending;20;115,00;35,17;212,00;327,00;27,00;0,00
8959;Yeni bahar Huizen ;Customer;18/03/2026;pending;20;115,00;35,17;212,00;327,00;27,00;0,00
8958;El Fierro ;Customer;18/03/2026;pending;5;43,85;34,98;81,50;125,35;10,35;0,00
8957;Salama Doner Pizza;Customer;18/03/2026;pending;6;30,96;33,81;60,60;91,56;7,56;0,00
8956;Best Doner Snacks B.V. ;Customer;18/03/2026;pending;10;47,47;23,80;152,00;199,47;16,47;0,00
8955;Ekmek Teknesi ;Customer;18/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
8954;Dream Kebab Katwijk ;Customer;18/03/2026;pending;13;74,75;35,17;137,80;212,55;17,55;0,00
8953;Simit Paleis A.S. ;Customer;18/03/2026;pending;5;28,75;35,17;53,00;81,75;6,75;0,00
8952;Kilis Doner Kebap ;Customer;18/03/2026;pending;9;51,53;23,35;169,20;220,73;18,23;0,00
8951;Snackbar te britten ;Customer;18/03/2026;pending;8;46,00;35,17;84,80;130,80;10,80;0,00
8950;Dream Kebab Voorhout;Customer;18/03/2026;pending;9;51,75;35,17;95,40;147,15;12,15;0,00
8949;Tercih Bakkerij ;Customer;18/03/2026;pending;7;40,25;35,17;74,20;114,45;9,45;0,00
8948;De Rotonde Kebab ;Customer;18/03/2026;pending;40;153,50;31,29;337,00;490,50;40,50;0,00
8947;Broodjeszaak de Mix ;Customer;18/03/2026;pending;48;121,20;27,80;314,80;436,00;36,00;0,00
8946;Ak-Al Bakkerij Herenstraat ;Customer;18/03/2026;pending;5;34,93;38,84;55,00;89,93;7,43;0,00
8945;Kebab Garden ;Customer;18/03/2026;pending;10;18,80;24,64;57,50;76,30;6,30;0,00
8944;North End ;Customer;18/03/2026;pending;6;0,00;0,00;0,00;194,57;16,07;0,00
8942;Oranje Oosterheem;;17/03/2026;pending;89;148,80;27,65;389,39;538,19;44,44;0,00
8941;Syrische Bakkerij ;Customer;17/03/2026;pending;20;135,20;26,96;366,20;501,40;41,40;0,00
8940;Pizza Aro;Customer;17/03/2026;pending;33;74,06;28,37;187,00;261,06;21,56;0,00
8939;Ak-Al Bakkerij ;Customer;17/03/2026;pending;8;46,00;35,17;84,80;130,80;10,80;0,00
8938;Arya Eethuis Leiden ;Customer;17/03/2026;paid-by-bank-fix;7;48,90;38,84;77,00;125,90;10,40;0,00
8937;Bakkerij de Hazelaar;Customer;17/03/2026;pending;15;104,78;38,84;165,00;269,78;22,28;0,00
8936;Elif Bakkerij ;Customer;17/03/2026;pending;16;92,00;35,17;169,60;261,60;21,60;0,00
8935;Alesta Food;Customer;17/03/2026;paid-by-bank-fix;13;40,21;29,63;95,50;135,71;11,21;0,00
8934;Aps Burger ;Customer;17/03/2026;pending;8;55,88;38,84;88,00;143,88;11,88;0,00
8933;Tok Tok Chicken;Customer;17/03/2026;pending;37;86,22;25,68;249,50;335,72;27,72;0,00
8932; ;Customer;17/03/2026;pending;3;20,96;38,84;33,00;53,96;4,46;0,00
8931;Pizza house ;Customer;17/03/2026;pending;20;101,90;22,80;345,00;446,90;36,90;0,00
8930;Bakkerij Çiçek ;Customer;17/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
8929;Nur Bakkerij ;Customer;17/03/2026;pending;5;28,75;35,17;53,00;81,75;6,75;0,00
8927;Saray PideHuis ;Customer;17/03/2026;pending;20;73,22;31,46;159,50;232,72;19,22;0,00
8926;San Marina ;Customer;17/03/2026;pending;23;94,00;31,94;200,30;294,30;24,30;0,00
8925;Bakkerij Nasib ;Customer;17/03/2026;pending;20;115,00;35,17;212,00;327,00;27,00;0,00
8924;Eethuis Ak-AL ;Customer;17/03/2026;pending;10;61,40;35,21;113,00;174,40;14,40;0,00
8923;Seryana ;Customer;17/03/2026;pending;10;69,85;38,84;110,00;179,85;14,85;0,00
8922;Meze Food ;Customer;16/03/2026;pending;680;522,00;16,90;2.566,00;3.088,00;0,00;0,00
8914;Papatya 071 ;Customer;16/03/2026;pending;10;62,70;25,01;188,00;250,70;20,70;0,00
8913;Aktas Supermarkt &amp; Bakkerij ;Customer;16/03/2026;pending;60;106,87;27,17;286,40;393,27;32,47;0,00
8912;Seda Bakkerij ;Customer;16/03/2026;paid-by-cash-fix;4;23,00;35,17;42,40;65,40;5,40;0,00
8911;Oranje Snacks ;Customer;16/03/2026;paid-by-bank-fix;12;83,82;38,84;132,00;215,82;17,82;0,00
8910;Bakkerij Driebergen ;Customer;16/03/2026;pending;5;28,75;35,17;53,00;81,75;6,75;0,00
8909;Bakkerij Hesse Place;Customer;16/03/2026;paid-by-cash-fix;24;60,77;24,16;190,80;251,57;20,77;0,00
8908;Pizza Spidi ;Customer;16/03/2026;pending;14;41,80;29,50;99,90;141,70;11,70;0,00
8907;La Casa Doner ;Customer;16/03/2026;pending;3;25,19;31,44;54,93;80,12;6,62;0,00
8906;Tandir Corner ;Customer;16/03/2026;paid-by-bank-fix;4;27,94;38,84;44,00;71,94;5,94;0,00
8905;Tasty Point ;Customer;16/03/2026;pending;24;58,51;22,56;200,80;259,31;21,41;0,00
8904;Groen76 ;Customer;16/03/2026;paid-by-bank-fix;5;28,75;35,17;53,00;81,75;6,75;0,00
8903;Eethuis Hoofstraat ;Customer;16/03/2026;pending;15;48,00;29,36;115,50;163,50;13,50;0,00
8902;HerenHof Eethuis ;Customer;16/03/2026;pending;30;57,75;23,55;187,50;245,25;20,25;0,00
8900;Pizzeria &amp; Dönerhuis De Gaarde ;Customer;16/03/2026;pending;14;50,86;34,82;95,20;146,06;12,06;0,00
8899;Sohbet BBQ cafe restaurant ;Customer;16/03/2026;pending;5;28,75;35,17;53,00;81,75;6,75;0,00
8898;Sohbet ;Customer;16/03/2026;pending;8;46,00;35,17;84,80;130,80;10,80;0,00
8897;Jacks corner ;Customer;16/03/2026;pending;50;94,00;24,64;287,50;381,50;31,50;0,00
8895;Jacks corner ;Customer;15/03/2026;pending;50;94,00;24,64;287,50;381,50;31,50;0,00
8892;Mr doner grill ;Customer;15/03/2026;paid-by-bank-fix;8;46,00;35,17;84,80;130,80;10,80;0,00
8888;Azal Banketbakkerij ;Customer;14/03/2026;paid-by-bank-fix;7;13,58;11,12;108,50;122,08;10,08;0,00
8887;Kebab Lovers ;Customer;14/03/2026;paid-by-bank-fix;7;13,58;11,12;108,50;122,08;10,08;0,00
8891;Jacks corner ;Customer;14/03/2026;pending;50;94,00;24,64;287,50;381,50;31,50;0,00
8883;Mirom supermarkt ;Customer;13/03/2026;paid-by-bank-fix;110;186,75;27,91;482,40;669,15;55,25;0,00
8882;Özhalk Market ;Customer;13/03/2026;pending;66;109,84;27,67;287,08;396,92;32,78;0,00
8881;Bella Ay Pizza &amp; Döner Huis ;Customer;13/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
8879;Pizza Pizza ;Customer;13/03/2026;pending;10;57,50;35,17;106,00;163,50;13,50;0,00
