"Order Number","Order Status","Order Date","Customer Note","First Name (Billing)","Last Name (Billing)","Company (Billing)","Address 1&2 (Billing)","City (Billing)","State Code (Billing)","Postcode (Billing)","Country Code (Billing)","Email (Billing)","Phone (Billing)","First Name (Shipping)","Last Name (Shipping)","Address 1&2 (Shipping)","City (Shipping)","State Code (Shipping)","Postcode (Shipping)","Country Code (Shipping)","Payment Method Title","Cart Discount Amount","Cart Discount Amount(inc. tax)","Order Subtotal Amount","Shipping Method Title","Order Shipping Amount","Order Refund Amount","Order Total Amount","Order Total Tax Amount","Order ID","Order Status","Product Id","Category","Product Name","Item ID","Item Cost","SKU","Item #","Item Name","Quantity (- Refund)","Item Cost","Coupon Code","Discount Amount","Discount Amount Tax"
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","152","Uncategorized,Supermarket","CRISPY WINGS CLASSIC (0.8kg)","231","5.75","5902082432210","1","CRISPY WINGS CLASSIC (0.8kg)","10","5.75","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","158","Uncategorized,Supermarket","CRISPY BURGER (0.8kg)","232","5.44","5902082427957","2","CRISPY BURGER (0.8kg)","10","5.44","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","159","Uncategorized,Supermarket","CHICKEN NUGGETS CLASSIC (0.8kg)","233","4.6","5902082428039","3","CHICKEN NUGGETS CLASSIC (0.8kg)","10","4.6","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","163","Uncategorized,Supermarket","Kentucky TENDERS CLASSIC (0.8kg)","234","6.25","5902082467564","4","CRISPY TENDERS CLASSIC (0.8kg)","10","6.25","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","164","Uncategorized,Supermarket","Kentucky TENDERS HOT (0.8kg)","235","6.25","5902082427896","5","CRISPY TENDERS HOT (0.8kg)","10","6.25","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","167","Uncategorized,Supermarket","CHEESE NUGGETS (0.7kg)","236","5.48","5902082428299","6","CHEESE NUGGETS (0.7kg)","2","5.48","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","199","Uncategorized,Supermarket","CHEESE STICKS (MOZZARELLA STICKS) (0.6kg)","237","5.75","5902082428282","7","CHEESE STICKS (MOZZARELLA STICKS) (0.6kg)","12","5.75","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","162","Uncategorized,Supermarket","CHICKEN SCHNITZEL (0.8kg)","240","4.25","5902082427834","8","CHICKEN SCHNITZEL (0.8kg)","10","4.25","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","212","Uncategorized","SLICED AND ROASTED CHICKEN KEBAB (0,8GR)","243","6.4","5902082427971","9","SLICED AND ROASTED CHICKEN KEBAB (0,8GR)","10","6.4","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","211","Uncategorized","SLICED AND ROASTED BEEF KEBAB (0,8GR)","244","7.2","5902082427988","10","SLICED AND ROASTED BEEF KEBAB (0,8GR)","10","7.2","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","217","Completed","95","Uncategorized,Horeca","CHICKEN BURGER ( 18x70 GR )","245","5.8","","11","CHICKEN BURGER  ( 18x70 GR )","2","5.8","","",""
